,html_url,legislative_term,reference,title,interpellation_type,published_at,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
0,https://kleineanfragen.de/schleswig-holstein/19/2605-internationaler-studierendenaustausch,19,2605,Internationaler Studierendenaustausch,minor,2020-12-11,SPD,Heiner Dunckel,"Minister/in für Bildung, Wissenschaft und Kultur"
1,https://kleineanfragen.de/schleswig-holstein/19/2606-bilinguales-lernen,19,2606,Bilinguales Lernen,minor,2020-12-10,SPD,Martin Habersaat,"Minister/in für Bildung, Wissenschaft und Kultur"
2,https://kleineanfragen.de/schleswig-holstein/19/2614-bildungs-und-teilhabepaket-in-der-corona-pandemie,19,2614,Bildungs- und Teilhabepaket in der Corona-Pandemie,minor,2020-12-09,SSW,Jette Waldinger-Thiering,"Minister/in für Wirtschaft, Verkehr, Arbeit, Technologie und Tourismus"
3,https://kleineanfragen.de/schleswig-holstein/19/2635-bedarfermittlung-fuer-luftreinigungsgeraete-an-oeffentlichen-schulen,19,2635,Bedarfermittlung für Luftreinigungsgeräte an öffentlichen Schulen,minor,2020-12-08,SPD,Martin Habersaat,"Minister/in für Bildung, Wissenschaft und Kultur"
4,https://kleineanfragen.de/schleswig-holstein/19/2591-kompetenzzentrum-nachhaltige-beschaffung-und-vergabe,19,2591,Kompetenzzentrum nachhaltige Beschaffung und Vergabe,minor,2020-12-08,SPD,Kerstin Metzner,Finanzminister/in
5,https://kleineanfragen.de/schleswig-holstein/19/2590-einbindung-der-elternbeiraete-bei-der-errichtung-des-landesfoerderzentrums-autismus,19,2590,Einbindung der Elternbeiräte bei der Errichtung des Landesförderzentrums Autismus,minor,2020-12-08,SSW,Jette Waldinger-Thiering,"Minister/in für Bildung, Wissenschaft und Kultur"
6,https://kleineanfragen.de/schleswig-holstein/19/2592-klimabilanz-bei-der-folgenabschaetzungen-von-gesetzen-verordnungen-und-foerderungen,19,2592,"Klimabilanz bei der Folgenabschätzungen von Gesetzen, Verordnungen und Förderungen",minor,2020-12-07,SPD,Thomas Hölck,"Minister/in für Energiewende, Landwirtschaft, Umwelt, Natur und Digitalisierung"
7,https://kleineanfragen.de/schleswig-holstein/19/2581-von-der-polizei-registrierte-straftaten-im-bereich-der-politisch-motivierten-kriminalitaet-rechts-sowie-hassdelikte,19,2581,"Von der Polizei registrierte Straftaten im Bereich der ""Politisch Motivierten Kriminalität - Rechts"" sowie Hassdelikte im dritten Quartal 2020",minor,2020-12-03,SPD,Tobias von Pein,"Minister/in für Inneres, ländliche Räume und Integration"
8,https://kleineanfragen.de/schleswig-holstein/19/2579-ueberwachung-des-prostituiertenschutzgesetzes-in-schleswig-holstein,19,2579,Überwachung des Prostituiertenschutzgesetzes in Schleswig-Holstein,minor,2020-12-03,SPD,Beate Raudies,"Minister/in für Wirtschaft, Verkehr, Arbeit, Technologie und Tourismus"
9,https://kleineanfragen.de/schleswig-holstein/19/2580-umsetzung-des-investitionsprogramms-des-krankenhauszukunftsgesetzes-in-schleswig-holstein,19,2580,Umsetzung des Investitionsprogramms des Krankenhauszukunftsgesetzes in Schleswig-Holstein,minor,2020-12-02,SPD,Bernd Heinemann,"Minister/in für Soziales, Gesundheit, Jugend, Familie und Senioren"
