,html_url,legislative_term,reference,title,interpellation_type,published_at,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
0,https://kleineanfragen.de/niedersachsen/18/6983-nachfragen-zur-drucksache-18-6368-umgang-mit-deponiepflichtigen-stoffen-beim-ausbau-der-a-7-zwischen-bockenem-und,18,6983,Nachfragen zur Drucksache 18/6368: Umgang mit deponiepflichtigen Stoffen beim Ausbau der A 7 zwischen Bockenem und Dreieck Salzgitter II,minor,2020-07-13,AfD,Stefan Henze,"Niedersächsisches Ministerium für Wirtschaft, Arbeit, Verkehr und Digitalisierung"
1,https://kleineanfragen.de/niedersachsen/18/7008-wie-ist-die-situation-der-krankenhaeuser-in-niedersachsen-in-zeiten-der-durch-das-coronavirus-verursachten-krise,18,7008,Wie ist die Situation der Krankenhäuser in Niedersachsen in Zeiten der durch das Coronavirus verursachten Krise?,minor,2020-07-10,AfD,Stephan Bothe,"Niedersächsisches Ministerium für Soziales, Gesundheit und Gleichstellung"
2,https://kleineanfragen.de/niedersachsen/18/7007-zerstoerter-adlerhorst-im-ammerland,18,7007,Zerstörter Adlerhorst im Ammerland,minor,2020-07-10,Die Grünen,Christian Meyer;Susanne Menge,"Niedersächsisches Ministerium für Umwelt, Energie, Bauen und Klimaschutz"
3,https://kleineanfragen.de/niedersachsen/18/7006-wie-steht-die-landesregierung-zu-neuen-ideen-fuer-den-kurtourismus-in-niedersachsen,18,7006,Wie steht die Landesregierung zu neuen Ideen für den Kurtourismus in Niedersachsen?,minor,2020-07-10,Die Grünen,Eva Viehoff,"Niedersächsisches Ministerium für Wirtschaft, Arbeit, Verkehr und Digitalisierung"
4,https://kleineanfragen.de/niedersachsen/18/7004-wie-ist-der-stand-der-planungen-des-autobahnkreuzes-oelper-und-welche-alternativen-zur-bisherigen-planung-gibt-es,18,7004,"Wie ist der Stand der Planungen des Autobahnkreuzes Ölper, und welche Alternativen zur bisherigen Planung gibt es?",minor,2020-07-10,Die Grünen,Imke Byl;Julia Willie Hamburg,"Niedersächsisches Ministerium für Wirtschaft, Arbeit, Verkehr und Digitalisierung"
5,https://kleineanfragen.de/niedersachsen/18/7002-erreichbarkeiten-niedersaechsischer-finanzaemter,18,7002,Erreichbarkeiten niedersächsischer Finanzämter,minor,2020-07-09,FDP,Thomas Brüninghoff;Jörg Bode;Christian Grascha,Niedersächsisches Finanzministerium
6,https://kleineanfragen.de/niedersachsen/18/6998-financial-blocking-trotz-baldiger-liberalisierung-des-onlinegluecksspiels,18,6998,Financial Blocking trotz baldiger Liberalisierung des Onlineglücksspiels,minor,2020-07-09,FDP,Marco Genthe;Christian Grascha,Niedersächsisches Ministerium für Inneres und Sport
7,https://kleineanfragen.de/niedersachsen/18/6997-geplante-reaktivierung-des-steinbruchs-voska-trotz-seitens-des-fleckens-salzhemmendorf-befuerchteten-massiven-lkw,18,6997,Geplante Reaktivierung des Steinbruchs Voska: Trotz seitens des Fleckens Salzhemmendorf befürchteten massiven LKW-Verkehrs keine Öffentlichkeitsbeteiligung?,minor,2020-07-08,Die Grünen,Imke Byl;Christian Meyer,"Niedersächsisches Ministerium für Umwelt, Energie, Bauen und Klimaschutz"
8,https://kleineanfragen.de/niedersachsen/18/6996-sanierungsstand-schloss-herzberg,18,6996,Sanierungsstand Schloss Herzberg,minor,2020-07-08,FDP,Susanne Schütz;Christian Grascha,Niedersächsisches Finanzministerium
9,https://kleineanfragen.de/niedersachsen/18/6995-ist-in-den-niedersaechsischen-kuestengewaessern-genuegend-platz-fuer-den-geplanten-ausbau-der-offshorewindkraft,18,6995,Ist in den niedersächsischen Küstengewässern genügend Platz für den geplanten Ausbau der Offshorewindkraft vorhanden?,minor,2020-07-08,AfD,Stefan Wirtz,"Niedersächsisches Ministerium für Umwelt, Energie, Bauen und Klimaschutz"
